iter	Logloss
0	0.06421842101
1	0.06415396049
2	0.06408495274
3	0.06402425514
4	0.06397460872
5	0.06392649754
6	0.06387920533
7	0.06383140415
8	0.06378781001
9	0.06374504372
10	0.063707371
11	0.06366456867
12	0.06362451963
13	0.06359181304
14	0.06355689811
15	0.06352665813
16	0.06349333076
17	0.06346987142
18	0.06343994428
19	0.06341150168
20	0.06338571343
21	0.06336613778
22	0.06334535674
23	0.06331883544
24	0.06328965817
25	0.06326756768
26	0.06324901318
27	0.06323055752
28	0.06319831657
29	0.06317831263
30	0.0631543528
31	0.06314348452
32	0.06311765092
33	0.06309460828
34	0.06306667908
35	0.06305212743
36	0.06302408289
37	0.0630057999
38	0.06299160195
39	0.06298179797
40	0.06297572279
41	0.06294997689
42	0.06293631426
43	0.0629182643
44	0.06291253861
45	0.06289652163
46	0.06287833705
47	0.06287258004
48	0.06286369952
49	0.06285185677
50	0.06284662795
51	0.06283639391
52	0.06283009585
53	0.06282702464
54	0.06282085798
55	0.06281018952
56	0.0628081319
57	0.06278775806
58	0.06278475911
59	0.06276564995
60	0.06275743407
61	0.0627560253
62	0.06275373803
63	0.0627369702
64	0.06273536203
65	0.06273377271
66	0.06273153343
67	0.06273035031
68	0.06272925576
69	0.06272795646
70	0.06272426202
71	0.06272088026
72	0.06269812059
73	0.062697434
74	0.06269630309
75	0.06268662226
76	0.06268592031
77	0.06267296087
78	0.06267217746
79	0.06267113563
80	0.06267027915
81	0.062669754
82	0.06266912878
83	0.06265978366
84	0.06265813792
85	0.06265750451
86	0.06264894632
87	0.06264340661
88	0.06263261085
89	0.06263203895
90	0.06263154843
91	0.06262628069
92	0.06262568737
93	0.06262513641
94	0.0626247511
95	0.06262398936
96	0.06262351461
97	0.06260886598
98	0.06260831063
99	0.06260775833
100	0.06260744474
101	0.06260701147
102	0.06260654965
103	0.06260611631
104	0.06260569897
105	0.06259923237
106	0.06259894308
107	0.06259861278
108	0.06259244688
109	0.06258031669
110	0.06256996088
111	0.06256958775
112	0.0625691628
113	0.0625688056
114	0.06256847031
115	0.06256816518
116	0.0625679356
117	0.06256058017
118	0.06256004
119	0.06255967521
120	0.06255938906
121	0.06255913198
122	0.062558947011123	0.062558669513124	0.062547038132125	0.06253874133	0.2164041151
134	0.2163803159
135	0.2163683275
136	0.2163331992
137	0.216305246
138	0.2162878526
139	0.2162759616
140	0.2162628045
141	0.2162405034
142	0.2162287746
143	0.2162128382
144	0.2162073103
145	0.2161972519
146	0.2161811923
147	0.2161606666
148	0.2161255451
149	0.2161080102
150	0.2160931008
151	0.2160802083
152	0.21606617
153	0.2160451019
154	0.2160135323
155	0.2159842212
156	0.2159716997
157	0.2159649887
158	0.2159583574
159	0.2159433726
160	0.2159289441
161	0.215887238
162	0.2158763174
163	0.2158546295
164	0.215835721
165	0.2158279093
166	0.2157931462
167	0.215762895
168	0.2157495753
169	0.2157362276
170	0.2157170233
171	0.2156942667
172	0.2156881275
173	0.215673769
174	0.2156619835
175	0.2156405796
176	0.215622656
177	0.2156182038
178	0.2156023642
179	0.2155976962
180	0.2155886003
181	0.2155705235
182	0.2155420201
183	0.2155351484
184	0.2155198694
185	0.2155116027
